ts_now;ts_simulator;node;consumption;production
2021-12-19 15:01:51;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;141;
2021-12-19 15:01:51;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-19 15:01:51;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-19 15:01:51;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;161;168.1
2021-12-19 15:01:57;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;141;
2021-12-19 15:01:57;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-19 15:01:57;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-19 15:01:57;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;161;168.1
2021-12-19 15:02:02;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;141;
2021-12-19 15:02:02;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-19 15:02:02;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-19 15:02:02;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;161;168.1
2021-12-19 15:02:08;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;172;
2021-12-19 15:02:08;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;152;3163.3
2021-12-19 15:02:08;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;142;5104.1
2021-12-19 15:02:08;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;187;168.1
2021-12-19 15:02:14;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;172;
2021-12-19 15:02:14;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;152;3163.3
2021-12-19 15:02:14;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;142;5104.1
2021-12-19 15:02:14;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;187;168.1
2021-12-19 15:02:21;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-19 15:02:21;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;118;3163.3
2021-12-19 15:02:21;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;157;5104.1
