I1221 20:51:56.719986       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-9ldqc to ip-172-20-49-41.ec2.internal


I1221 20:56:26.906551       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1221 20:56:27.396712       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-kvkhd
I1221 20:56:27.396740       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-kvkhd
I1221 20:56:27.396912       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1221 20:56:27.397016       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kvkhd on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 20:56:27.397095       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kvkhd on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 20:56:27.397279       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kvkhd on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1221 20:56:27.398327       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kvkhd on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 20:56:27.398359       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kvkhd on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 20:56:27.397456       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1221 20:56:27.400820       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:838860800] ,score 9,
I1221 20:56:27.401531       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:838860800] ,score 5,
I1221 20:56:27.401454       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1221 20:56:27.401485       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1221 20:56:27.401504       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1221 20:56:27.408850       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1221 20:56:27.408875       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1221 20:56:27.408890       1 resource_allocation.go:84] green-k8s-test-65bb774986-kvkhd -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1221 20:56:27.408930       1 selector_spreading.go:146] green-k8s-test-65bb774986-kvkhd -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 20:56:27.408939       1 selector_spreading.go:146] green-k8s-test-65bb774986-kvkhd -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 20:56:27.408944       1 selector_spreading.go:146] green-k8s-test-65bb774986-kvkhd -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 20:56:27.408950       1 selector_spreading.go:146] green-k8s-test-65bb774986-kvkhd -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 20:56:27.409318       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 20:56:27.409331       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 20:56:27.409336       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 20:56:27.409341       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 20:56:27.444314       1 generic_scheduler.go:822] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (0)
I1221 20:56:27.444339       1 generic_scheduler.go:822] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (7)
I1221 20:56:27.444345       1 generic_scheduler.go:822] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1221 20:56:27.444351       1 generic_scheduler.go:822] green-k8s-test-65bb774986-kvkhd_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (6)
I1221 20:56:27.444363       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 25
I1221 20:56:27.444586       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 33
I1221 20:56:27.444593       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 36
I1221 20:56:27.444782       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 32
I1221 20:56:27.444970       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-kvkhd", node "ip-172-20-58-134.ec2.internal"
I1221 20:56:27.444993       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-kvkhd", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1221 20:56:27.445558       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-kvkhd to ip-172-20-58-134.ec2.internal


I1221 21:22:28.176277       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1221 21:22:29.044894       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-jfkvt
I1221 21:22:29.044990       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-jfkvt
I1221 21:22:29.046030       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1221 21:22:29.046268       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-jfkvt on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 21:22:29.046437       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-jfkvt on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 21:22:29.046521       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-jfkvt on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1221 21:22:29.046660       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1221 21:22:29.046875       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-jfkvt on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
